Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
là dove il dente duole la lingua batte,la lingua batte dove il dente duole,82.6389,0.7943,0.1758,75.1,0,0
la risposta è assolutamente no,la risposta e stata no,53.5317,0.75,0.1364,30.2,0,0
vi chiedo solo un momento,ti devo chiedere un momento,43.6508,0.1695,0.0227,10.4,0,0
quali sono le informazioni più ricercate,quali sono le informazioni piu promettenti,53.8889,0.625,0.0667,32.5,0,0
ma questo a cosa servirebbe,ma a cosa serve tutto questo,82.5,0.7782,0.0674,50.8,0,0
e la risposta è assolutamente sì,la risposta e stata si,42.2619,0.375,0.0682,21.4,0,0
le sue condizioni sarebbero piuttosto gravi,le sue condizioni sono particolarmente gravi,82.2222,0.949,0.1124,53.7,0,0
invece il progetto severiano era fallito totalmente,ma il progetto fu fallito,66.6667,0.5111,0.0455,23.6,0,0
propone pertanto che la commissione esprima parere favorevole,propone che la commissione esprima parere favorevole,35.9722,0.8757,0.1758,72.9,0,0
beh ciò è solo una piccola parte del lavoro,e solo una parte del lavoro,48.1019,0.4046,0.0449,13.8,0,0
ma la partita è tutta aperta,ma comunque la partita e aperta,15.8333,0.5011,0.0674,18.0,0,0
agitare velocemente nello shaker con ghiaccio in cubetti,agitare con cubetti di ghiaccio nello shaker,41.5812,0.4845,0.1075,13.0,0,0
il ricorso pertanto deve essere rigettato,il ricorso deve essere rigettato,100.0,0.996,0.1778,100.0,0,0
artisticamente oggi la situazione non è certo esaltante,oggi la situazione trasparente non e,24.1667,0.4259,0.0449,18.0,0,0
un problema però c è,ma c e un problema abbastanza grosso,55.754,0.4189,0.0667,14.5,0,0
accettate le principali carte di credito,tutte le maggiori carte di credito sono accettate,29.5833,0.605,0.0659,25.8,0,0
che ci sia un errore,e stato complessivamente un errore,66.6667,0.375,0.0225,21.4,0,0
cosa ci dice al riguardo,cosa mi puo dire al riguardo,66.6667,0.4259,0.0674,18.0,0,0
per ulteriori informazioni telefonare allo 066872690,per informazioni si puo telefonare allo 066872690,48.8889,0.9308,0.2105,30.7,0,0
deceduto nel dicembre del 1970,e deceduta nel dicembre 1970,51.3095,0.5889,0.0899,39.8,0,0
è andato bene,e andato tutto bene,60.5556,0.7361,0.1149,59.5,0,0
avverte inoltre che il relatore ha presentato alcuni nuovi emendamenti vedi allegato,avverte che il relatore ha presentato un emendamento vedi allegato,56.7989,0.7938,0.172,58.1,0,0
perché su questo siamo d accordo,possiamo essere d accordo su questo,100.0,0.9977,0.1573,100.0,0,0
il discorso si farebbe complicato,ma qui il discorso si complica,93.3333,0.9765,0.1124,76.0,0,0
avanti non si può andare,non possiamo andare avanti cosi,53.2738,0.5111,0.0227,23.6,0,0
c è una cosa che voglio dire,c e un altra cosa da dire,76.0408,0.8413,0.1778,64.3,0,0
chi sa come andrà a finire,volete sapere come ando a finire,78.4722,0.8067,0.1573,38.0,0,0
il presidente novi dichiara chiusa la discussione generale,presidente dichiara chiusa la discussione generale,100.0,0.9977,0.1573,100.0,0,0
tale tesi peraltro non può essere accolta,tale tesi non puo essere accolta,32.9167,0.625,0.1124,23.0,0,0
che sia un segno del destino,e stato un segno del destino,66.6667,0.6615,0.1124,50.8,0,0
questo è un dato di fatto,anzi e un dato di fatto,43.0556,0.3125,0.0449,16.2,0,0
  opo un visto della segreteria di stato,giusto o un visto della presidenza,11.9444,0.4267,0.0449,25.6,0,0
tuttavia le cose non dovrebbero essere perfettamente così,oggi le cose non sono piu cosi,73.7302,0.6506,0.0889,41.1,0,0
tutta la classe stava andando a pattinare nella città vicina e l’ eccitazione per questa gita era cresciuta durante tutto il quadrimestre,tutta la classe stava andando a pattinare nella citta vicino alla citta e l ’ elettricista era nata durante tutto il quadro era nata prima il,48.3811,0.6131,0.2182,32.7,0,0
forse è semplicemente una questione di qualità,e anche una questione di qualita,41.3889,0.5773,0.1124,30.2,0,0
invece le cose qui stanno così,le cose stanno proprio cosi,62.6984,0.5111,0.0227,23.6,0,0
la dichiarazione deve essere resa anche se negativa,tale dichiarazione deve essere resa anche se negativa,100.0,0.999,0.1978,100.0,0,0
o non si deve fare d ogni erba un fascio,non facciamo di tutta un erba un fascio,100.0,0.999,0.1978,100.0,0,0
e questa è una cosa,questa era una nuova cosa,36.1111,0.2,0.0,12.7,0,0
ovviamente dobbiamo fare di più,tuttavia dobbiamo fare di piu,58.254,0.7938,0.1364,66.9,0,0
non si poteva fare di più,di piu non potevo fare,40.6151,0.3,0.0227,14.1,0,0
era una splendida notte stellata di luna piena,era una notte d ’ luna piena di luna piena,59.9567,0.88,0.086,19.6,0,0
siamo probabilmente nel febbraio del 60,e nel febbraio del 60,61.5741,0.7938,0.0909,66.9,0,0
delfini giocosi saltavano accanto a lei sulle onde,delfini sono saltati accanto a lei sulle onde,55.4762,0.605,0.1087,36.6,0,0
ma i dati sconcertanti sono altri,ma il dato grave e un altro,84.5833,0.8413,0.1778,48.9,0,0
il guaio coi thriller è proprio questo,questo e il grande guaio,37.9167,0.3,0.0,14.1,0,0
la presente legge è dichiarata urgente ed entra in vigore il giorno successivo a quello della sua pubblicazione nel bollettino ufficiale della regione,la presente legge e dichiarata urgente ed entra in vigore nel giorno della sua pubblicazione nel bollettino ufficiale della regione,72.4544,0.9494,0.4078,85.8,0,0
per ulteriori informazioni visitate il sito ufficiale,per informazioni visita il sito,45.463,0.4099,0.0682,13.9,0,0
questa è una sua affermazione,questa e una sua affermazione,38.0952,0.1695,0.0227,10.4,0,0
questa è la domanda,questa e la vera domanda,30.754,0.3,0.0909,14.1,0,0
in parte è anche vero,in parte puo essere vero,73.6111,0.75,0.1364,30.2,0,0
l emendamento 5.1 posto ai voti è respinto,posto ai voti e respinto l emendamento 30. 1,69.7222,0.7182,0.1505,26.3,0,0
ringraziando- la per l attenzione le porgo cordiali saluti,la ringrazio dell attenzione e le porgo cordiali saluti,37.2619,0.5208,0.1064,19.1,0,0
forse questa è la volta buona,forse e davvero la volta buona,40.463,0.7353,0.1124,32.5,0,0
era questo il problema,questo e il grande problema,66.6667,0.2542,0.0,11.5,0,0
eh questa è una grande domanda,questa e una grande domanda,48.8095,0.2206,0.0,9.4,0,0
si vedrà come andrà a finire,vedremo adesso come va a finire,30.754,0.4259,0.0449,18.0,0,0
beh questa è un altra storia,e proprio un altra storia,41.5873,0.5889,0.0682,39.8,0,0
ce n è per tutti i gusti anche quelli più sofisticati,ce ne sono di tutti i gusti,30.267,0.5357,0.0889,26.3,0,0
qualcuno può dar- me una dritta,qualcuno puo dar - me qualche dritta,31.9643,0.6148,0.1778,26.3,0,0
ma la vera questione non è questa,non e questa la questione,50.7407,0.75,0.1364,42.7,0,0
effy rimase sotto la doccia per moltissimo tempo e per il resto del giorno non ci furono più scherzi,effy rimase sotto la docce per tutto il resto del giorno non ci furono piu scherzi,21.1558,0.6851,0.28,45.9,0,0
c è dunque un problema molto profondo,c e un problema molto profondo,34.7222,0.25,0.0225,10.7,0,0
il problema fu un altro,il vero problema sono sempre gli altri,45.6944,0.0962,0.0,6.6,0,0
oltre non si può obiettivamente andare,non poteva andare diversamente,52.9167,0.2041,0.0,14.8,0,0
e ci sono anche bambini,era anche un bambino che aveva paura,31.8056,0.0962,0.0,6.6,0,0
eppure non erano una cattiva idea,non fu una una buona idea,100.0,0.9977,0.1573,100.0,0,0
dim- mi che non è vero,dite - mi che non e vero,24.8611,0.4915,0.0889,14.5,0,0
che cosa si potrebbe fare praticamente,che cosa si puo fare,66.6667,0.75,0.0909,42.7,0,0
non è proprio questo il caso,non e proprio il caso,57.1429,0.3,0.0455,14.1,0,0
sarebbe già un passo avanti,sara comunque un passo avanti,40.1984,0.6356,0.0682,35.0,0,0
ma poi una notte ho fatto un sogno,l altra notte ho fatto un sogno,66.6667,0.8164,0.1111,61.5,0,0
vi ringrazio per l aiuto,vi ringrazio per il vostro aiuto,66.6667,0.7353,0.0899,32.5,0,0
insomma di tutto e di più,e di piu e stato,6.9444,0.1695,0.0455,17.5,0,0
perché è di primo livello,e di primo livello,48.6111,0.3827,0.046,24.9,0,0
ma qui la cosa era diversa,ma ora la cosa era diversa,52.963,0.7353,0.0899,32.5,0,0
il problema qui è un altro,qui il problema e solo politico,30.754,0.25,0.0225,18.0,0,0
ma lo sapete qual è il problema,ma il problema qual e,32.2222,0.4331,0.0455,19.4,0,0
il telefono funziona ora,il telefono suona ora,37.6984,0.5215,0.023,27.5,0,0
il deserto è presente anche se con estensioni diverse in tutti i continenti extraeuropei e copre circa il 15 delle terre emerse,il deserto e presente anche in tutti i continenti e copre circa il 15 delle terre aspettose e copre inoltre il 15 dello spazio,47.0899,0.3007,0.0556,9.8,0,0
ma mi sta il dovere,tutto il tuo dovere sta qui,58.3333,0.0,0.0,0.4,0,0
c è anche una parte molto più complicata,questa e una parte molto importante,23.3333,0.3276,0.0225,12.9,0,0
ma qui non c è scelta,non e una scelta,50.4167,0.102,0.023,12.4,0,0
come sempre il pesce puzza dalla testa,il pesce sempre troppa acqua,20.4167,0.3178,0.0227,17.5,0,0
ma anche questo che cosa vuol dire,che cosa vuol dire questo,86.7424,0.8441,0.1136,81.9,0,0
> quindi siamo d accordo,> quindi siamo d accordo,42.9167,0.5111,0.0455,23.6,0,0
la sfida è proprio questa,e questa la nostra sfida,37.6984,0.4331,0.0455,19.4,0,0
allora è questo il problema,allora il problema e questo,46.4286,0.2,0.0,12.7,0,0
ma questo potrebbe essere solo l inizio,ma questo e solo un inizio,38.6508,0.1961,0.0225,9.7,0,0
non so dare una risposta ma sono abbastanza ottimista,non so dare una risposta ma sono abbastanza ottimista,87.3413,0.9222,0.1075,44.6,0,0
beh la storia potrebbe essere questa,beh perche la storia e cosi bella,61.1111,0.3606,0.0444,13.1,0,0
questa tua osservazione è molto interessante,questa osservazione e molto interessante,49.6296,0.75,0.0682,30.2,0,0
cosa fare con gli altri,cosa possiamo fare con gli altri,62.3611,0.6615,0.0899,50.8,0,0
c è una logica quindi,c e una logica quindi,33.9286,0.1471,0.0227,8.5,0,0
la cosa più strana tuttavia non è questa,la cosa non e tuttavia facile,62.7976,0.4907,0.0899,30.2,0,0
anche lì è nato prima l uovo o la gallina,nasce prima l uovo o la gallina,43.6706,0.6802,0.1333,60.8,0,0
anche in considerazione della sua articolata attività didattica la commissione esprime un giudizio positivo,anche in considerazione della ampia attivita didattica la commissione esprime un giudizio pienamente positivo,67.0028,0.8372,0.2474,61.6,0,0
ciao pino ho urgente bisogno di un tuo aiuto,caro pino ho urgente bisogno del tuo aiuto,60.6313,0.8406,0.1319,35.9,0,0
d il comma 6 è sostituito dal seguente 6,il comma 6 e sostituito dal seguente 6,48.4023,0.2817,0.044,22.1,0,0
ma anche gli altri non gli erano da meno,ma tutti gli altri non sono stati da meno,39.7222,0.3897,0.0652,11.3,0,0
altrimenti non c è spiegazione,non puo esser - ci altra spiegazione,39.5833,0.4915,0.0667,14.5,0,0
scopo di questa sezione di approfondimento è dare risposta al seguente quesito,scopo di questa parte di approfondimento e dare risposta al quesito,20.6534,0.5651,0.1474,18.7,0,0
la commissione prosegue l esame rinviato da ultimo nella seduta del 5 novembre 2003,la commissione prosegue l esame rinviato nella seduta del 5 novembre 2003,100.0,0.9997,0.2917,100.0,0,0
l audizione informale è stata svolta dalle 14.30 alle 16.05,l audizione si e svolta dalle 14. 05 alle 15. 30,67.8767,0.5984,0.3093,15.1,0,0
la mia richiesta pertanto non può essere accolta,tale richiesta non puo essere accolta,49.4907,0.8067,0.1573,38.0,0,0
a 244 quali tra le seguenti materie sono disciplinate con il regolamento interno dell istituto,b 244 quali materie sono disciplinate dal regolamento interno dell istituto,91.1706,0.9086,0.25,89.3,0,0
è solo un opinione personale,ma e un opinione personale,66.8651,0.75,0.1364,42.7,0,0
non ci sono problemi,non e un mio problema,68.75,0.2,0.0455,12.7,0,0
così il giorno seguente invitò madame sciantosa a preparare una ricca collezione di guanti da proporre agli abitanti di parigi,cosi il giorno seguente invito madame sciantosa a fare una vasta gamma di guanti di parigi,26.4531,0.5013,0.2178,12.8,0,0
"la seduta è tolta ore 12,30","la seduta e tolta alle ore 13, 30",37.0106,0.6722,0.1739,22.3,0,0
a e cosa ha di tanto particolare,a che cosa ha di tanto strano,46.8651,0.7632,0.0667,41.1,0,0
ed è un errore,ed e un grande errore,45.1984,0.75,0.1364,42.7,0,0
l articolo 318 del codice penale è sostituito dal seguente art,l articolo 318 del codice penale e sostituito con il seguente art,67.5376,0.9139,0.2917,73.5,0,0
il suo compito non è questo,non e il suo compito,57.1296,0.75,0.1364,42.7,0,0
ma il problema più grave è un altro,il problema interno e forse il piu grave,59.7619,0.1408,0.022,11.0,0,0
non si può far finta di nulla,non potete far finta di nulla,43.75,0.4259,0.0449,18.0,0,0
l attività didattica è di lunga durata e ben documentata,l attivita didattica e pertinente e di lunga durata,55.636,0.4889,0.1304,28.2,0,0
eppure le occasioni non gli erano mancate,eppure non sono mancate certo le occasioni,63.9947,0.9308,0.0879,30.7,0,0
la seduta si chiude alle ore 13.00,alle ore 19. 00 la seduta viene chiusa,62.3755,0.8179,0.1087,35.5,0,0
per ulteriori informazioni ci si può rivolgere al numero telefonico 091 7403105,per ogni informazione ci si puo rivolgere al numero tel,27.166,0.3468,0.043,10.0,0,0
e non è certo un caso,non puo essere un caso,76.3889,0.75,0.1364,42.7,0,0
ahimé non è uno scherzo,ma non e uno scherzo,34.9206,0.75,0.1364,30.2,0,0
l’ acqua del fiume era così alta che aveva iniziato a ricoprire il bordo del pontile proprio all’ esterno della casa,l ’ acqua del fiume era cosi alta che aveva inizio a crescere sul pontile proprio come a una parte della casa,22.4967,0.5351,0.2264,17.1,0,0
si rivolga presso le università degli studi per saper- ne di più,devi rivolger - ti presso le universita degli studi per saper - ne di piu,24.7802,0.4573,0.2,12.3,0,0
e la stessa cosa farà oggi,anche oggi faccio la stessa cosa,47.2222,0.2381,0.0,9.7,0,0
anche così però non mancano i rischi,ma non mancano i rischi,48.3333,0.75,0.0682,30.2,0,0
questo è il secondo oggetto,questo e un secondo oggetto,9.5833,0.5111,0.0909,23.6,0,0
qual è la situazione oggi,qual e la situazione pugliese,36.3095,0.3,0.0674,14.1,0,0
non sarebbe proprio il caso,non e il caso nostro,66.6667,0.6233,0.0909,23.6,0,0
ma non raccontiamo- ci balle,ma non racconto le raccontare,18.6508,0.3178,0.0455,17.5,0,0
la speranza è sempre l ultima a morire,ma la speranza e l ultima a morire,54.4053,0.7361,0.1538,41.1,0,0
non si saprebbe da che parte cominciare,non sai neanche da che parte cominciare,66.6667,0.6914,0.1111,43.5,0,0
la seduta sospesa alle 10.10 riprende alle 10.50,la seduta sospesa alle 10. 10 riprende alle 14. 50,66.6667,0.7011,0.1474,25.2,0,0
in caso di fratelli sorelle che risultino assegnati contemporaneamente a nidi diversi o in caso di un bambino assegnato a un nido diverso da quello già frequentato dal fratello il genitore dopo l' accettazione e prima dell' avvio dell' anno educativo puó chiedere il trasferimento per un bambino in uno dei due nidi assegnati o nel nido già frequentato dall' altro fratello,in caso di fratello maggiore che risulta collegata contemporaneamente a nidi diversi o in caso particolare di un bambino diverso da uno dei due candidati assegnato dal,13.3698,0.2412,0.2,11.1,0,0
cristo tuttavia morì per gli empi,cristo e morto per gli empi,40.463,0.625,0.0899,32.5,0,0
è un gran disco anche oggi,e comunque un disco bellissimo,37.6389,0.1695,0.0,10.4,0,0
che cosa si intende con ciò,che cosa ha voluto intendere con cio,40.2778,0.4915,0.0889,14.5,0,0
non è quella la strada,non e la nostra strada,48.8095,0.3,0.0682,14.1,0,0
infilò la forchetta in bocca e sentì improvvisamente il fresco sapore dei frutti di bosco e di una tenera crema stesa sulla pasta frolla,infilo la forchetta in bocca e senti il sapore dei frutti di bosco e di una morbida torta giocosa sulla pasta impastare,55.2892,0.564,0.2385,39.5,0,0
e forse è bene così,e forse cosi e stato,63.8889,0.3,0.1364,23.6,0,0
non si fa di tutta l erba un fascio,non si puo fare di tutta l erba un fascio,65.3535,0.6918,0.129,53.7,0,0
come è nato questo suo libro,com e nato questo libro,35.4167,0.5889,0.0909,39.8,0,0
certo i problemi non sono finiti,i problemi non erano finiti,26.0185,0.4642,0.0455,17.0,0,0
ma non c è una risposta,ma non e una risposta,61.5741,0.5515,0.1136,20.3,0,0
ma mi mancano le parole ecco,ma mi manca solo le parole,24.7685,0.7353,0.0899,23.0,0,0
ed è una cosa stupenda questa,ed e una grande cosa,40.6151,0.3,0.0909,14.1,0,0
e poi fosse la prima volta,e certamente la prima volta,65.4762,0.5889,0.0682,39.8,0,0
questo è un dilemma ora,questo e un tuo dilettevole,58.3333,0.1695,0.0,10.4,0,0
la presente legge regionale sarà pubblicata nel a bollettino ufficiale della regione,la presente legge regionale sara pubblicata nel bollettino ufficiale della regione,55.9449,0.9055,0.2553,70.2,0,0
e gli esempi tragicamente potrebbero moltiplicar- si,e gli esempi possono moltiplicar - si,70.9193,0.7934,0.1978,43.5,0,0
la seduta si chiude alle ore 17.00,alle ore 19. 00 la seduta viene chiusa,78.6111,0.8179,0.1087,35.5,0,0
sembra strano eppure è così,sembra strano ma e vero,50.1587,0.3178,0.0455,17.5,0,0
conservare in luogo fresco asciutto e pulito,conserva i profilattici in un luogo fresco e asciutto,68.7458,0.63,0.0851,29.8,0,0
tutto è davanti agli occhi,tutto questo e sotto gli occhi di tutti,56.1111,0.0806,0.0,5.5,0,0
ma non è così difficile come sembra,non e cosi difficile come sembra,19.4444,0.3704,0.1124,15.2,0,0
  si di maggio e agosto,si dice di maggio e agosto,36.0317,0.949,0.1124,53.7,0,0
questa tuttavia è solo la punta minacciosa di un iceberg,ma e la punta di un iceberg,77.0996,0.8164,0.1538,61.5,0,0
21 chi uccide un capo di bestiame lo pagherà ma chi uccide un uomo sarà messo a morte,21 chi uccide un capo di lavoro lo paga ma chi uccide l uomo sara messo a morte,20.3841,0.7292,0.2574,41.9,0,0
si richiede pertanto un approfondita conoscenza della lingua inglese,si richiede buona conoscenza della lingua inglese,80.3175,0.8757,0.1556,61.3,0,0
la volpe si precipitò ad afferrarla e beffeggiò il corvo soggiungendo se poi caro il mio corvo tu avessi anche il cervello non ti mancherebbe proprio altro per diventare re,la volpe si precipito ad afferrarla e beppetto diventa felice se poi non la creta creta ho paura che poi non te lo faccia,18.1928,0.2144,0.0364,3.7,0,0
purtroppo ciò non è accaduto,tutto questo non e accaduto,21.5278,0.3,0.0909,14.1,0,0
e questo sarebbe un bene o un male,e un male o un bene,38.3003,0.62,0.0674,26.9,0,0
ma le cose potrebbero cambiare,ma cambiera davvero le cose,66.6667,0.4331,0.0449,19.4,0,0
chissà com era la vita lì,com e la tua vita,66.6667,0.3,0.0909,14.1,0,0
le cose dunque sono più complesse,le cose sono piu complesse e complicate,47.9828,0.7212,0.1111,26.3,0,0
ma non farei di ogni erba un fascio,non si puo sempre fare di tutta l erba un fascio,37.8535,0.6027,0.0851,15.9,0,0
al personale autorizzato i rimborsi vengono effettuati secondo le disposizioni vigenti in materia,al personale autorizzato i rimborsi devono essere effettuate secondo le disposizioni in materia,17.4603,0.6355,0.1458,28.9,0,0
me l ha fatto un mio amico,cosi ho fatto un mio amico,25.0,0.0,0.0,4.1,0,0
e questo è un problema per tutti,ed e un problema enorme,25.0,0.2542,0.0227,11.5,0,0
spesso la fretta è cattiva consigliera,la fretta e cattiva consigliera,46.713,0.6356,0.1348,24.7,0,0
approvata l immediata eseguibilità all unanimità,l immediata eseguibilita e approvata all unanimita,36.8056,0.3651,0.129,14.5,0,0
ora la domanda è questa,questa e la mia domanda,61.3095,0.3,0.0909,14.1,0,0
il condizionale comunque è d obbligo,il condizionale e d obbligo,61.5741,0.5515,0.1124,20.3,0,0
quali sono le sue opere,quali sono le sue opere,39.5833,0.3,0.0455,14.1,0,0
sarebbero oltre un centinaio i morti,i morti sono oltre un centinaio,55.7407,0.7353,0.0899,23.0,0,0
caparbiamente sono convinto che non sia così,ma sono convinto che non e cosi,43.0556,0.3074,0.0222,13.1,0,0
di più non saprei dir- ti,non so dire di piu,76.4484,0.7938,0.1364,66.9,0,0
e si fa anche in italia,dobbiamo far - lo anche in italia,78.5714,0.7934,0.1778,43.5,0,0
é stato ciò un male o un bene,e un bene o un male,63.8095,0.625,0.1124,23.0,0,0
dove trovare più informazioni possibili,dove posso trovare piu informazioni,52.1429,0.75,0.1364,42.7,0,0
questo è un esempio per tutti,questo e soltanto un piccolo esempio,40.6151,0.2941,0.0674,10.7,0,0
mi viene un dubbio allora,mi e venuto un dubbio,25.1984,0.6233,0.0682,23.6,0,0
4 l importante non è vincere,4 l obiettivo non e vincere,11.5278,0.3333,0.0449,11.5,0,0
ugolino tentò in tutti i modi di farsi vedere ma gino continuava a non notarlo,ugolino teno in tutti i modi di far vedere ma lui continuava a non notarla,24.9305,0.7157,0.198,37.0,0,0
quali sono le qualità paesaggistiche rilevabili nel contesto interessato dall' intervento,quali sono le qualita paesaggistica rilevabili nel contesto oggetto dell'intervento,19.3948,0.3338,0.1649,13.2,0,0
mi potrebbe gentilmente chiarire le idee,puo gentilmente chiarir - me le idee,42.2619,0.4189,0.044,13.1,0,0
no stasera non esco,no non deve fare paura,69.0476,0.4573,0.0455,21.4,0,0
e c è un altro problema,e un altro problema aperto,42.3611,0.4331,0.0455,19.4,0,0
accanto a quel che rimaneva del grande tendone segni di bruciato correvano sull’ erba e un solco scavato dal fuoco partiva dall’ albero di quercia andato a fuoco in direzione dei pali del tendone,vicino a quel grande tenda che restava sul grande tenda t & # x12d9 sull ’ erba dalla parte di albero partiva seguendo,53.775,0.1873,0.0364,3.8,0,0
vi sembra una cosa troppo normale,vi sembra una cosa normale,100.0,0.996,0.1364,100.0,0,0
quali sono le novità più rilevanti,quali sono state le principale novita,30.754,0.5011,0.0449,18.0,0,0
il sito è ancora parzialmente in costruzione,il sito e in costruzione,30.4167,0.487,0.0909,16.6,0,0
ma ciò è vero solo in parte infatti,il che e vero solo in parte,31.4286,0.5357,0.0889,26.3,0,0
ma per tutto c è un prezzo da pagare,c e un prezzo da pagare,44.798,0.8067,0.1573,53.7,0,0
sì l ho letta,si hai letto proprio giusto,54.1667,0.0,0.0227,5.3,0,0
ovviamente non è questo il caso,e non e il tuo caso,51.0317,0.25,0.0674,10.7,0,0
è un peccato,ed e davvero un peccato,48.3333,0.2,0.0227,12.7,0,0
il danno in questione deve dunque essere allegato e provato,il danno in questione deve essere allegato e prova,52.2484,0.8018,0.1522,53.4,0,0
questo è un enorme passo avanti,e un passo importante,48.0556,0.1724,0.023,11.5,0,0
è andato quasi tutto bene,tutto e andato molto bene,63.9881,0.75,0.1364,42.7,0,0
questa è una domanda ovviamente senza risposta,risposta questa e un ottima domanda,49.2063,0.1961,0.0,9.7,0,0
il problema quindi esiste,tuttavia il problema esiste,100.0,0.9922,0.1149,100.0,0,0
oggi era proprio una giornata di mare,e stata una giornata di mare,60.0,0.7014,0.1348,32.2,0,0
questa è proprio una bella domanda,ed e una bella domanda,38.0952,0.2,0.0455,12.7,0,0
comunque questo è un altro discorso,ma questo e un discorso lungo,48.1151,0.625,0.1124,23.0,0,0
purtroppo questo è un governo,questo e un governo buono,25.1984,0.5111,0.0909,23.6,0,0
come recuperare il tempo perduto,volevo recuperare il tempo perduto,53.8889,0.6356,0.0682,35.0,0,0
ma questa è davvero un altra storia,ma queste sono altre storie,34.4444,0.0735,0.0227,7.2,0,0
che non è certo una colpa,non e certo una colpa,40.9722,0.2542,0.0455,11.5,0,0
però una cosa la voglio dire,volevo semplicemente dire una cosa,100.0,0.996,0.1364,100.0,0,0
non saranno pertanto prese in considerazione le domande spedite o presentate oltre il termine sopraindicato,non saranno prese in considerazione le domande presentate oltre termine,44.6649,0.6356,0.1075,23.1,0,0
propone pertanto l espressione di un parere favorevole,propone pertanto la espressione di un parere favorevole,42.8968,0.7361,0.1319,54.1,0,0
la legge dovrebbe essere uguale per tutti,la legge e sempre uguale per tutti,50.8333,0.5357,0.0889,18.6,0,0
alla udienza del 6 giugno 2003 la causa stata trattenuta in decisione,all udienza del 6 giugno 2003 la causa e stata trattenuta per la decisione,48.8853,0.6281,0.1633,46.0,0,0
dall attuazione del presente decreto non derivano nuovi o maggiori oneri per il bilancio dello stato,dall attuazione del presente decreto non devono derivare nuovi o maggiori oneri per il bilancio dello stato,60.8783,0.7845,0.2,45.7,0,0
da allora comunque le cose sono cambiate,da allora sono cambiate moltissime cose,52.9167,0.6464,0.0449,20.5,0,0
non tutti i mali però vengono per nuocere,allora non tutto il male viene per nuocere,93.8889,0.8737,0.1739,84.1,0,0
questa è purtroppo la verità,questa e la grande verita,47.9167,0.2,0.0909,12.7,0,0
altrimenti i giornali non ne parlerebbero,ma i giornali non ne hanno parlato,93.3333,0.9813,0.1333,80.9,0,0
eppure c è ancora molto lavoro da fare,molto lavoro e ancora da fare,65.2146,0.8067,0.1573,38.0,0,0
il giudizio complessivo è buono,il giudizio complessivo e pertanto buono,32.1296,0.625,0.1124,32.5,0,0
la risposta è assai semplice quanto scontata,la risposta e semplice ma grave,48.9484,0.5011,0.0674,18.0,0,0
non dovrebbero essere in pericolo di vita,non e comunque in pericolo di vita,79.1667,0.8413,0.1778,64.3,0,0
siamo dunque alla fine del 1926,siamo alla fine dell 1926,28.4722,0.5111,0.0455,23.6,0,0
si spiegò anche il perché,e spieghero poi il perche,37.5,0.2,0.0674,12.7,0,0
  esposte e discusse le premesse teoriche una personale selezione di testi dalle differenti raccolte del pascoli a,esposte e discutono le premesse ragionamento ragionamento da parte di molti testi dalle sezioni del pascoli a sinistra,17.7805,0.4505,0.1176,11.5,0,0
11 il paese rimase in pace per quarant anni poi otniel figlio di kenaz morì,11 il paese rimase in pace per circa trenta anni prima di moab mori di benedetto,20.0463,0.585,0.14,39.7,0,0
una per fare un esempio,posso fare un esempio immediato,53.8889,0.375,0.0227,21.4,0,0
sinceramente non vorrei essere al loro posto,non sono ancora a posto,100.0,0.996,0.1364,100.0,0,0
oggi le cose non sono cambiate granché,molte cose non sono cambiate,36.6667,0.1,0.0,10.7,0,0
ma facciamo un passo più avanti,ma facciamo un ulteriore passo avanti,57.4074,0.7353,0.0674,23.0,0,0
da allora molto cammino è stato fatto,da allora il cammino e fatto,58.5185,0.526,0.0449,19.3,0,0
e qui il discorso si fa davvero serio,il discorso si fa serio,62.2222,0.5836,0.0909,44.8,0,0
ecco questo è un caso,ma e un caso ovvio,22.2222,0.375,0.0455,21.4,0,0
spese del grado di giudizio compensate tra le parti,compensa tra le parti le spese del presente grado di giudizio,88.0513,0.9055,0.2128,80.7,0,0
ciascuna relazione viene approvata all unanimità,la relazione viene approvata all unanimita,36.9643,0.4574,0.1319,16.3,0,0
quali sono i riferimenti legislativi,quali sono i suoi riferimenti artistici,73.6111,0.8067,0.1124,38.0,0,0
i lavori iniziati nel 1907 sono terminati nel 1912,i lavori furono iniziati verso il 1910 e terminati nel 1910,67.4383,0.8137,0.1895,58.8,0,0
mai si era vista una cosa del genere,mai si era vista una cosa del genere,51.688,0.6817,0.1099,36.6,0,0
le gelatine di margherita cadevano per terra ogni due passi che faceva,le gelatine di margherita cadevano per terra ogni due passi che faceva i due passi,66.6667,0.968,0.28,77.6,0,0
ovvero del fare di tutta l erba un unico fascio,qui si fa di tutta un erba un fascio,100.0,0.9993,0.2174,100.0,0,0
lo si fa in tanti modi,essere fatta in tanti modi,62.6984,0.4991,0.0682,32.6,0,0
certo questo sarebbe un elemento importante,questo e un elemento importante,66.6667,0.75,0.1364,42.7,0,0
anche tali questioni non sono fondate,anche questa questione non e fondata,17.9167,0.098,0.0,8.1,0,0
e questa è un ulteriore novità,ed e un ulteriore novita,31.1508,0.5111,0.1364,23.6,0,0
