Normal,Simple,SARI,METEOR,ROUGE_F,BLEU,SPEARMAN_CORRELATION,PEARSON_CORRELATION
"le falene più vecchie consistevano principalmente di naftalene ma a causa dell infiammabilità del naftalene le falene moderne usano invece 1,4-diclorobenzene",le falene piu vecchie erano chiamate naftalene,28.7573,0.0403,0.0,2.1,0,0
e stato pubblicato come un 7 singolo nel dicembre 1981 su liberty,e stato pubblicato come un 7 singoli nel dicembre 1981 su liberty liberty,43.6553,0.3014,0.1667,11.2,0,0
la sua particolare colorazione a macchie le ha dato un nome comune di magpie moth,la sua colorazione a macchie le ha dato un nome comune di magpie moth,43.7374,0.4017,0.2143,12.5,0,0
carresse-cassaber è un comune francese situato nel dipartimento di pyrénées-atlantiques,carresse - cassaber e un comune francese dei pirenei atlantiques departement situato nella parte sud occidentale della francia,29.9138,0.522,0.4324,32.7,0,0
il villaggio ospita due scuole superiori palatine high school sul lato nord-est e william fremd high school sul lato sud ovest e un college comunitario william rainey harper college,ci sono due scuole superiori a william fremd high school e william rainey college,45.6715,0.5534,0.5,31.5,0,0
i clienti postali con volumi di posta elevati o grokunden hanno i propri codici postali separati da quelli utilizzati per i distretti postali o le gamme di numeri di caselle postali,i clienti postali hanno i propri codici postali separati,24.4036,0.1907,0.2703,6.1,0,0
però il tutto sa un pò di paradossale,il tutto sa di un po complesso,42.7778,0.2885,0.0,8.6,0,0
molto attento cerca sempre di dare una mano,cerco di dare una mano,100.0,0.996,1.0,100.0,0,0
morières lès avignone è un comune francese situato nel dipartimento del vaucluse nella regione della provenza-alpi-costa azzurra,morieres les avignone e un comune francese situato nella regione provence - alpes - c te d'azur nel dipartimento del vaucluse nel sud della francia,32.4547,0.5664,0.3333,22.9,0,0
entro il mese di settembre per i bambini già frequentanti,prima del mese di settembre per i bambini gia frequentanti,69.0278,0.8951,0.7778,78.3,0,0
l' 11 dicembre 1999 henman sposò la sua fidanzata di lunga data la produttrice televisiva lucy heald,henman sposo la sua fidanzata catherine heald nel 1999,64.8352,0.6411,0.3529,21.7,0,0
questa è una dichiarazione di guerra,e una esplicita dichiarazione di guerra,29.6296,0.7353,0.5,32.5,0,0
cosa puoi dir- me a riguardo,cosa puo dire a questo riguardo,84.1667,0.8067,0.6,53.7,0,0
la strana bicicletta aveva proprio la misura giusta per ernesta,la strana bicicletta aveva proprio la misura giusta per ernesta,100.0,0.9995,1.0,100.0,0,0
nella torre oltre agli uffici amministrativi sorgerà un grande magazzino un r&amp;d un asilo aziendale una caffetteria inoltre dovrà sorgere una palestra da arrampicata interna questa sarà la più grande di tutta l' europa,nella torre oltre agli uffici amministrativi sorge un grande magazzino un r & # x avere una palestra da arrampicata interna questa sara la piu grande palestra di tutta l'europa,26.6767,0.5544,0.5484,41.5,0,0
i figli dello zar sono stati allevati nel modo più semplice possibile,i figli dello zar sono stati allevati bene,53.0447,0.559,0.4615,34.6,0,0
si potrebbe continuare ancora a lungo,si puo continuare a lungo,72.2222,0.75,0.5,42.7,0,0
la international boxing federation o ibf è una delle quattro principali organizzazioni riconosciute da ibhof che sanzionano gli incontri di pugilato del campionato del mondo insieme a wba wbc e wbo,ibf e una delle quattro organizzazioni riconosciute dal world wrestling federation,17.0424,0.147,0.1026,1.9,0,0
frye trascorse la maggior parte della sua carriera politica come legislatore prestando servizio nella camera dei rappresentanti del maine e nella camera dei rappresentanti degli stati uniti prima di essere eletto al senato degli stati uniti dove prestò servizio per 30 anni e morì in carica,frye trascorse la maggior parte della sua carriera politica come legislatore e nella camera dei rappresentanti del maine prima di essere eletto al senato degli stati uniti prima di diventare presidente,37.1388,0.5056,0.2791,15.0,0,0
genet ha sviluppato il cancro alla gola ed è stato trovato morto il 15 aprile 1986 in una camera d' albergo a parigi,genet mori il 15 aprile 1986 in una camera d'albergo a parigi,44.339,0.4873,0.32,22.2,0,0
la perdita del requisito della residenza nel comune di trento comporta la cancellazione della domanda di ammissione al nido e il mancato inserimento della stessa nella graduatoria,la perdita del requisito della residenza nel comune di trento comporta la cancellazione della domanda di ammissione al nido e il mancato inserimento nella graduatoria,27.2967,0.7614,0.72,63.7,0,0
il punto infatti è proprio questo,il punto e proprio qui,66.7262,0.75,0.5714,30.2,0,0
nowata è una città degli stati uniti d' america nella contea di nowata,nowata e una citta degli stati uniti d'america,34.0467,0.3221,0.1333,11.6,0,0
mainz è una città della germania e la capitale dello stato federale tedesco della renania-palatinato,mainz e una citta della renania settentrionale - palatinato germania,21.8803,0.1271,0.1111,4.5,0,0
argomenti come la santità del matrimonio l' adulterio l' alcolismo la prostituzione e le religioni sono intessuti in tutto l' album,argomenti come la santita il matrimonio l'adulterio l'alcolismo la prostituzione e le religioni sono sempre uniti,15.8119,0.2721,0.4865,12.0,0,0
ma non è un momento facile,non fu un momento facile,100.0,0.996,1.0,100.0,0,0
la risposta è no naturalmente,la ovvia risposta e no,52.1429,0.75,0.5714,42.7,0,0
propone quindi alla commissione di esprimere parere favorevole,propone alla commissione di esprimere un parere favorevole,100.0,0.999,1.0,100.0,0,0
poi questa è una mia opinione,e solo la mia piccola opinione,58.3333,0.0,0.0,4.1,0,0
e tu cosa mi fai,e tu che cosa fai,100.0,0.996,1.0,100.0,0,0
la ringrazio e distintamente la saluto,la ringrazio e la saluto,100.0,0.996,1.0,100.0,0,0
e non sarebbe un risultato di poco conto,non era un risultato di poco conto,100.0,0.9985,1.0,100.0,0,0
trans è un comune francese situato nel dipartimento di mayenne,trans e un comune di trans4 abitanti situato nella regione pays de la loire nel dipartimento di mayenne nel nord ovest della francia,68.8033,0.8032,0.7111,65.0,0,0
le famiglie delle bandiere attuali possono derivare da alcuni antenati comuni come nei casi dei colori panafricani dei colori panarabi dei colori panslavi della bandiera della croce nordica e della bandiera ottomana,le famiglie che vivono nella zona di oggi possono provenivare da idee simili come i colori panafricani dei colori panslavi della bandiera della croce nordica o della bandiera ottomana,39.2455,0.2347,0.1034,6.7,0,0
in attesa di un vostro cortese riscontro porgo cordiali saluti,in attesa di un vostro cortese riscontro le porgo i miei distinti saluti,100.0,0.9998,1.0,100.0,0,0
oggi la cioccolata calda viene consumata in tutto il mondo ed è disponibile in molteplici varianti tra cui la cioccolata densa molto spessa servita in italia e il cacao caldo più sottile che viene tipicamente consumato negli stati uniti,oggi la cioccolata calda viene mangiata in tutto il mondo come il cioccolato caldo,36.4768,0.2801,0.2917,9.9,0,0
ma le cose evidentemente cambiano,ma le cose possono cambiare,55.5556,0.4331,0.2222,19.4,0,0
questo è un aspetto della questione,questo e un altro aspetto della questione,60.4858,0.7454,0.6667,55.8,0,0
i motivi possono essere molti,ci possono essere molti motivi,92.2222,0.8441,0.8889,81.9,0,0
c è un altra considerazione da fare,piuttosto c e da fare un altra considerazione,70.7082,0.8648,0.7692,59.5,0,0
lui e il suo contemporaneo lev kuleshov due dei primi teorici del cinema sostenevano che il montaggio era l' essenza del cinema,e contemporaneamente lev kuleshov ha due dei primi teorici del cinema cinema contemporanea,45.2961,0.4858,0.3871,25.7,0,0
ma purtroppo la realtà non è questa,ma la realta non e cosi,27.6852,0.3276,0.1818,12.9,0,0
la costituzione di porto rico è stata formalmente adottata il 3 luglio 1952,la costituzione di porto rico e stata approvata nel 1952,66.4754,0.4779,0.4,23.2,0,0
è forse un difetto,ho e un mio difetto,71.1111,0.5889,0.5714,39.8,0,0
è questo un momento molto importante,e stato un momento importante,38.8889,0.4099,0.2,13.9,0,0
ci sono cinque sottospecie dell' echidna dal becco corto ciascuna trovata in una posizione geografica diversa,ci sono cinque sottospecie dell'echidna con becco corto ciascuna trovata in una posizione geografica diversa,13.3355,0.4483,0.4286,20.3,0,0
certo sarebbe stato meglio non dover arrivare a questo punto,ma non era necessario arrivare a questo punto,66.6667,0.6817,0.5,36.6,0,0
entro l' anno successivo dopo una carriera relativamente breve era morto,entro l'anno successivo dopo una carriera simile era morto,39.3047,0.4395,0.6087,18.9,0,0
ma ne vale la pena,ma vale veramente la pena,100.0,0.996,1.0,100.0,0,0
o cosa diavolo è successo,cosa diavolo e successo esattamente,66.6667,0.5111,0.25,23.6,0,0
l' importanza di essere earnest è una commedia comica di oscar wilde,l'importanza delle earnest e una commedia comica di oscar wilde,17.1296,0.2757,0.3,13.7,0,0
questa si che è una grande notizia,questa e una grande notizia,43.9352,0.75,0.5714,42.7,0,0
egli è il presidente della commissione di difesa nazionale comandante supremo dell esercito del popolo coreano e segretario generale del partito dei lavoratori della corea,egli e il presidente della commissione di difesa nazionale del popolo cinese e segretario generale del partito dei lavoratori della corea,52.312,0.5542,0.5417,40.7,0,0
innanzitutto bisogna fare una distinzione,bisogna pero fare una distinzione,41.3889,0.75,0.5,42.7,0,0
i primi fossili di scarafaggi moderni con ovipositori interni appaiono nei primi cretacei,i primi fossili di scarafaggi moderni furono trovati in un primo momento nel periodo cretaceo,38.631,0.5901,0.3846,34.8,0,0
e questo mi pare una cosa molto molto importante,mi pare una cosa gravissima,51.2401,0.5154,0.5455,36.7,0,0
nel 1915 incontra edith galt,nel 1915 incontro edith galt,61.1111,0.1014,0.087,1.1,0,0
qual è l asso nella manica,e qual e l asso nella manica,42.2619,0.2679,0.1667,13.1,0,0
di cosa si tratta allora,di che cosa si tratta,100.0,0.996,1.0,100.0,0,0
spesso però le cose nella realtà vanno diversamente,nella realta le cose vanno diversamente,70.0758,0.8067,0.6,53.7,0,0
l’ antifascismo è l’ opposizione alle ideologie fasciste ai governi ai gruppi e agli individui,l ’ antifascismo e l ’ opposizione alle idee fasciste ai governi e agli individui,23.6073,0.624,0.4,13.4,0,0
ma c è anche una notizia positiva,ed e una buona notizia,58.3333,0.0847,0.0,8.7,0,0
non alza mai la voce,non posso alzare troppo la voce,100.0,0.9977,1.0,100.0,0,0
questa è la cosa più grave,questa e stata la cosa principale,49.3056,0.3676,0.25,16.2,0,0
giocò anche per i chicago black hawks e si ritirò dopo la stagione 1939,gioco anche per i chicago black hawks,56.3657,0.4209,0.4706,22.9,0,0
ma poiché la speranza di ciò che si vede non è speranza,poiche la speranza di cio che si vede non e speranza ma una speranza,45.6518,0.7393,0.4,22.7,0,0
la bandiera della russia o ufficialmente la bandiera di stato della federazione russa è una bandiera tricolore di tre campi orizzontali uguali bianco sulla parte superiore blu nel mezzo e rosso sul fondo la bandiera è stata utilizzata per la prima volta come insegna per mercanti e navi da guerra e divenne ufficiale solo nel 1896,la bandiera della russia e una bandiera tricolore di tre campi orizzontali bianco sulla parte superiore del terreno blu nel mezzo e rosso sul fondo del mare,33.6216,0.1852,0.0556,3.5,0,0
in un anno non bisestile ci sono 365 giorni in un anno bisestile ci sono 366 giorni,in un anno non bisestile ci sono 365 giorni in ogni anno bis,37.062,0.4711,0.2353,8.7,0,0
ah su questi posso anche essere d accordo,possiamo essere d accordo su questo,100.0,0.9977,1.0,100.0,0,0
le altre parti pur ritualmente intimate non si sono costituite in giudizio,in tale giudizio non sono costituite le parti intimate,100.0,0.9993,1.0,100.0,0,0
saint-pierre-canivet è un comune francese della regione di basse-normandie situato nel dipartimento di calvados,saint - pierre - canivet e un comune francese situato nella regione di basse - normandie nel dipartimento di calvados nel nord ovest della francia,59.3395,0.8155,0.9268,54.5,0,0
la valutazione complessiva è stata mediamente positiva,la valutazione complessiva e stata mediamente positiva,29.9008,0.5662,0.4444,24.4,0,0
ma non è sola questa la ragione,non e questa la ragione,34.0278,0.1695,0.0,10.4,0,0
le spese sostenute devono essere documentate,tutte le spese sostenute devono essere documentate,68.548,0.9654,0.7273,41.1,0,0
ma questo può giustificare una guerra preventiva,come si puo giustificare questa guerra,19.1204,0.1282,0.0,6.9,0,0
dopo l articolo 6 sono inseriti i seguenti art,dopo l articolo 6 inserire il seguente art,100.0,0.999,1.0,100.0,0,0
le parti intimate non si sono costituite in giudizio,in tale giudizio non sono costituite le parti intimate,100.0,0.9993,1.0,100.0,0,0
e questa è una novità,ed e un ulteriore novita,31.25,0.1,0.0,10.7,0,0
per cui nel complesso il mio giudizio è buono,nel complesso il giudizio e buono,52.7146,0.7433,0.4444,24.3,0,0
credendo che lactobacillus fosse essenziale per una buona salute mechnikov ha lavorato per diffondere lo yogurt come alimento in tutta europa,ha detto che lactobacillus era importante per aiutare lo yogurt,28.7414,0.2568,0.1379,4.4,0,0
questo non è un film indipendente,ma non e un film,43.9484,0.4331,0.25,19.4,0,0
almeno questa è la mia impressione,e anche la mia impressione,80.754,0.7938,0.8571,66.9,0,0
ma questo è solo un primo passo,e un primo passo significativo,81.4484,0.7938,0.8571,66.9,0,0
questa è una sfida sufficiente per me,per me e una sfida,63.8889,0.535,0.2222,20.8,0,0
la prospettiva non è incoraggiante davvero,ma la prospettiva non e incoraggiante,47.381,0.1667,0.0,9.7,0,0
un altro nome per il calendario cinese è il calendario   yin in riferimento all' aspetto lunare del calendario mentre il calendario gregoriano è il calendario   yang in riferimento alle sue proprietà solari,un altro nome per il calendario cinese e il calendario gregoriano,35.5903,0.1172,0.0,4.1,0,0
ma il danno è stato fatto,ma il danno era fatto,49.3056,0.5111,0.2857,23.6,0,0
anche la romania è entrata a far parte della nato il 29 marzo 2004 ed è anche membro dell unione latina della francofonia dell osce e delle nazioni unite nonché membro associato del cplp la romania è uno stato unitario semi presidenziale,la romania e entrato a far parte della nato il 29 marzo 2004 ed e membro del cplp,53.5699,0.8124,0.6429,48.8,0,0
ununoctium è attualmente l' unico membro sintetico del gruppo 18,ununoctium e un membro conservatore del gruppo 18,44.4444,0.051,0.0,4.3,0,0
questo dovrebbe essere abbastanza facile,e abbastanza facile da fare,51.3889,0.1,0.0,10.7,0,0
il nihon shoki è stato scritto in cinese classico come era comune per i documenti ufficiali in quel momento,il nihon shoki e stato scritto in cinese classico,41.2932,0.3635,0.2857,17.7,0,0
ma il problema è forse un altro,il vero problema sono sempre gli altri,49.4444,0.1639,0.0,7.8,0,0
il franchise ha iniziato a giocare durante la stagione 1988 89 nba come charlotte hornets con sede a charlotte north carolina dove si trovava fino alla fine della stagione 2001 02 nba,giocano le loro partite casalinghe in una nuova casa chiamato charlotte hornets con sede a charlotte north carolina,44.9174,0.3396,0.2222,14.9,0,0
è ancora poco ma sarebbe comunque un inizio,e ancora poco ma e un inizio,52.2222,0.6148,0.4444,18.6,0,0
oltre a questi residenti ci sono 37 agenti di polizia sudcoreani che prendono residenza in servizio di guardia ci sono anche tre ministero degli affari marittimi e del personale della pesca e tre custodi del faro che vivono sulle isole in rotazione,oltre a questi residenti ci sono 37 agenti di polizia che lavorano per la guardia costiera,22.7186,0.0928,0.04,1.7,0,0
improvvisamente la gabbia delle scimmie fu piena di visitatori,la gabbia delle scimmie e piena di visitatori,63.433,0.6009,0.5,32.0,0,0
sir arthur ignatius conan doyle dl è stato un medico e scrittore scozzese più noto per le sue storie sul detective sherlock holmes che sono generalmente considerati una grande innovazione nel campo della narrativa criminale e per le avventure del professor challenger,sir arthur ignatius conan doyle e stato un famoso medico scozzese,44.856,0.43,0.3333,14.8,0,0
ma ciò ovviamente non basta,ma tutto cio non puo bastare,52.5463,0.4259,0.2,18.0,0,0
dopo la notte dei coltelli lunghi le ss-totenkopfverb nde organizzarono e amministrarono il regime di campi di concentramento della germania e dopo il 1941 anche i campi di sterminio nella polonia occupata,dopo la notte dei coltelli lunghi le ss - totenkopfverb nde organizzarono e gestivano il regime di campi di concentramento della germania occupata,39.2448,0.5172,0.4186,35.8,0,0
e questa è una questione di principio,era una questione di principio,100.0,0.996,1.0,100.0,0,0
e anche lì non era colpa di nessuno,e la colpa non e dei reporter,84.7817,0.8036,0.7273,48.9,0,0
non è una scelta saggia,non e una scelta saggia,27.0833,0.3,0.0,14.1,0,0
mi hai detto una gran bella cosa,hai detto proprio una bella cosa,100.0,0.9977,1.0,100.0,0,0
la saluto ringraziando- la per la sua cortesia,la ringrazio della sua eventuale cortesia la saluto,97.2222,0.999,1.0,100.0,0,0
la mia campagna sarebbe molto su questo tono,la campagna e molto su questo tono,38.8889,0.1899,0.0,7.5,0,0
vedremo cosa si può fare,vediamo che cosa possiamo fare,20.7341,0.4331,0.2222,19.4,0,0
tutti erano ancora con il fiato sospeso,erano tutti con il fiato sospeso,65.0,0.6615,0.6,50.8,0,0
11 aprile 1996 comincia formalmente il processo,il processo 11 aprile 1996 comincia,16.0256,0.6466,0.4615,17.1,0,0
la battaglia della foresta di teutoburgo ebbe luogo nel 9 d.c. quando un' alleanza di tribù germaniche guidate da arminio figlio di segimer dei cherusci agguato e distrutto tre legioni romane guidate da publio quinctilio varo,la battaglia di teutoburgo ebbe luogo nel 9 d. c. quando un'alleanza di tribu germaniche guidati da arminio figlio di segimer dei cherrylio varo dei chernici,29.3372,0.1316,0.0513,3.2,0,0
cyllene noto anche come è un satellite naturale di giove,cyllene o e una luna di giove,81.8452,0.8413,0.7273,48.9,0,0
il lettore è quindi libero di trarre le proprie conclusioni sulla grandezza degli yankees sulla base delle informazioni fornite,il lettore e quindi libero di trarre le proprie conclusioni sulla grandezza degli yankees,52.3541,0.2743,0.3,15.3,0,0
qual è la fonte delle informazioni,qual e la fonte di informazioni,51.8519,0.0725,0.0,6.9,0,0
oggi questa è la vera battaglia,e questa la battaglia vera,65.4762,0.2542,0.0,11.5,0,0
e questa è una guerra,ed e una guerra difficilissima,18.6508,0.2757,0.2222,14.3,0,0
in realtà però non è così,in altre realta culturali non e cosi,32.7778,0.0962,0.0,6.6,0,0
c è anche un vantaggio,ma c e un ulteriore vantaggio,56.25,0.0833,0.0,8.1,0,0
i motori di calore sono spesso confusi con i cicli che tentano di imitare,i motori di calore sono spesso confusi con i cicli che cercano di migliorare,34.6786,0.6252,0.5806,42.4,0,0
la lega anseatica era un' alleanza economica delle città commerciali e delle loro corporazioni che stabilirono e mantennero un monopolio commerciale lungo le coste del nord europa,la lega anseatica era un'alleanza tra citta commerciali e citta che stabilivano un monopolio commerciale lungo le coste del nord europa,36.0312,0.4237,0.383,16.5,0,0
all' inizio del 1999 gackt lasciò malice mizer,ha lasciato malice nel 1999,50.754,0.0885,0.0,3.1,0,0
il punto esclamativo viene spesso utilizzato in combinazione con il punto interrogativo,il punto interrogativo e spesso utilizzato nel contesto con il punto di domanda,43.6574,0.3007,0.1111,6.8,0,0
nell' aprile 2008 mary peters ha lanciato il blog ufficiale del segretario dei trasporti chiamato the fast lane,nell'aprile 2008 mary peters ha lanciato un altro blog chiamato the fast lanes,37.5661,0.2467,0.1176,6.2,0,0
oltre al suo incarico a chicago solti è stato direttore musicale dell' orchestre de paris dal 1972 al 1975,solti e stato direttore musicale dell'orchestre de paris dal 1972 al 1975,54.4313,0.567,0.7143,33.1,0,0
ma c è un altra questione anche più importante,ma la questione piu grave e un altra,59.4709,0.7806,0.5455,25.8,0,0
ma talune cose non cambieranno mai,certe cose non cambiano mai,100.0,0.996,1.0,100.0,0,0
chavignon è un comune francese situato nel dipartimento dell' aisne nella piccardia,chavignon e un comune francese situato nella regione picardie nel dipartimento dell'aisne nel nord della francia,58.2887,0.7826,0.9032,64.5,0,0
h. l. mencken ha detto che   un dachshund è un mezzo cane alto e un cane e mezzo lungo anche se sono stati indicati come   due cani lunghi,h. l. mencken e un cane di razza mista tedesco e un mezzo cane lungo,30.5174,0.3915,0.3636,25.8,0,0
sposato con beatrice rocchi cantante di varietà molto nota negli anni venti col nome d' arte di reginella ha avuto da lei due figli gemelli rimanendone vedovo nell' estate del 1981,e sposato con beatrice rocchi cantante di varieta molto conosciuta negli anni venti con un nome d'arte di reginella,16.878,0.3793,0.449,19.1,0,0
dovrebbe laurear- si in scienze della formazione primaria,si deve laureare in scienze della formazione primaria,69.2424,0.7361,0.5714,54.1,0,0
a causa della differenza di geografia in cina molte scuole qin conosciute come qin pai si sono sviluppate nel corso dei secoli tali scuole si sono generalmente formate intorno alle aree in cui l' attività qin era la più grande,qin pai e la lingua ufficiale della cina,55.2925,0.16,0.0,4.2,0,0
il 6 aprile 1994 l' aereo che trasportava il presidente ruandese juvénal habyarimana e cyprien ntaryamira il presidente hutu del burundi fu abbattuto mentre si preparava ad atterrare a kigali,il 6 aprile 1994 l'aereo che trasportava il presidente ruandese juvenal habyarimana e cypri del burundi occidentale ed e stato abbattuto sul monte ere,37.0548,0.2868,0.1333,5.5,0,0
mcclane e carver si riuniscono con la polizia e l' fbi e apprendono che simon è in realtà l' ex ufficiale delle forze speciali della germania est simon peter gruber e potrebbe essere rancore per la morte di suo fratello hans gruber che è stato ucciso da mcclane alla fine del primo film,mcclane e carver sono stati in grado di scoprire chi e l'ex presidente della germania hans gruber che ha ucciso accidentalmente da un ufficiale delle forze speciali della germania est nella prima stagione della serie ha detto che hanno ucciso tutti e cinque i membri dell'fbi,36.7423,0.2209,0.0263,2.4,0,0
il programma potrebbe subire variazioni,il programma potrebbe subire diverse variazioni,44.9074,0.526,0.2,19.3,0,0
nei mammiferi contiene il gene sry che innesca lo sviluppo del testicolo se presente,i mammiferi contiene il gene sry che codifica lo sperma,31.0907,0.3613,0.32,20.4,0,0
butch cassidy and the sundance kid ha anche vinto numerosi british academy film awards tra cui miglior film miglior regia miglior sceneggiatura migliore fotografia miglior attore e migliore attrice per katharine ross tra gli altri,butch cassidy and the sundance kid e un film del 1999 della 20th century fox,28.7938,0.033,0.0,1.0,0,0
l attività didattica è valida totalmente pertinente e continua,anche l attivita didattica e valida e continuativa,25.9524,0.3945,0.1538,13.1,0,0
ora siamo a un bivio,siamo a un difficile bivio,100.0,0.996,1.0,100.0,0,0
la realtà ovviamente è molto diversa,la realta era molto diversa,40.2778,0.4331,0.25,19.4,0,0
roermond si trova nel mezzo della provincia del limburgo delimitata dal fiume maas a ovest e dalla germania a est,roermond e una citta nel nord della germania si trova sul fiume maas,40.2874,0.0719,0.0,3.4,0,0
un volo aereo da ricognizione nel sistema il 20 settembre ha riportato un ben definito raffiche di vento basse e forti in squalls come il sistema cingolato nel golfo del messico nord orientale insieme ad attività temporalesca limitata e disorganizzata,un volo aereo da ricognizione nel sistema il 20 settembre ha riportato un'raffica di vento basse e forti in squalls come il sistema cingolato nel golfo del messico,41.4043,0.346,0.2941,16.8,0,0
vedeva sotto di sé i tetti della sua città,vedeva sotto di se i tetti della sua citta,45.7158,0.5378,0.4,31.6,0,0
nel primo episodio ash ketchum riceve il suo pikachu dal professor oak come pokémon di partenza,ash ketchum viene a sapere dal professor oak che e il suo vero nome e che deve essere il pokemon di partenza,44.2063,0.1628,0.0571,3.8,0,0
l' attuale proprietario del nome utente di destinazione ha un indirizzo e-mail impostato,l'attuale proprietario del nome utente di destinazione e il - mail impostato,34.1667,0.4076,0.5833,38.4,0,0
è stata spogliata della sua appartenenza alla federazione degli scacchi degli stati uniti il 7 agosto 2009 e quindi ha perso il suo posto nel suo comitato esecutivo,nel settembre 2009 e stata spogliata dalla federazione degli scacchi degli stati uniti e ha perso il suo posto nel comitato esecutivo,41.8018,0.3711,0.2857,23.6,0,0
ma c è anche un altra differenza,ma ci sono altre differenze,66.6667,0.2542,0.0,11.5,0,0
vttern è stata famosa per l' eccellente qualità della sua acqua trasparente,vttern e una qualita superiore all'acqua,20.0421,0.0521,0.0,4.2,0,0
siamo infatti in una fase davvero particolare della cruenta transizione irachena,siamo in una fase particolare della transizione irachena,68.9103,0.7806,0.5,36.6,0,0
quasi fosse ancora un ragazzo,e ancora un ragazzo,53.8889,0.3827,0.2857,24.9,0,0
innimond è un comune francese situato nel dipartimento di ain,innimond e un comune,38.0952,0.6389,0.4,35.4,0,0
google ha anche utilizzato la tecnologia di ricerca web in altri servizi di ricerca tra cui ricerca immagini google news il sito di confronto dei prezzi google ricerca prodotti l' archivio interattivo usenet google gruppi google maps e altro ancora,google ha molti altri servizi di ricerca tra cui google notizie e altri,34.1818,0.0405,0.0,1.5,0,0
il segno dei tempi è anche questo,e il segno dei tempi,41.6667,0.4991,0.5,32.6,0,0
invece è proprio così,ma e stata proprio cosi,42.2222,0.1695,0.0,10.4,0,0
questa è una domanda da un milione di dollari,la sua domanda e da un milione di dollari,76.1645,0.8819,0.8,59.7,0,0
non vi è alcun dubbio su questo,su questo non vi puo essere alcun dubbio,80.8333,0.8648,0.7143,50.0,0,0
i sostenitori della serie hanno affermato che la magia in harry potter ha poca somiglianza con l' occultismo essendo più in vena di fiabe come cenerentola e biancaneve o alle opere di c. s. lewis e j. r. r. r. tolkien entrambi autori noti per la scrittura di romanzi fantasy con sottotesti fortemente cristiani,le persone della serie hanno detto che la magia in harry potter e i libri di harry potter non era molto coinvolta con l'occultazione la magia di r. s. lewis e le opere di c. r. rangern tolkien,40.084,0.3304,0.1231,17.8,0,0
si ringrazia per l attenzione e si porgono distinti saluti,ringrazio per l attenzione e porgo distinti saluti,100.0,0.999,1.0,100.0,0,0
ma c è qualcos altro ben più profondo,ma c e stato qualcos altro,61.8717,0.8067,0.6667,38.0,0,0
non esiste una terapia davvero efficace,non esiste una terapia semplice,48.7963,0.6356,0.4444,35.0,0,0
il 14 dicembre 1976 a seguito delle elezioni generali che hanno reso la cdu csu il più grande gruppo in parlamento carstens è stato eletto presidente del bundestag,carsten e stato eletto presidente del bundestag nel 1979,34.3588,0.3249,0.2857,11.0,0,0
di cosa dovrebbero avere paura,di cosa devo avere paura,62.6984,0.5111,0.25,23.6,0,0
lì i problemi sono stati altri,il problema e stato un altro,61.1111,0.3676,0.2222,16.2,0,0
dormivano su culle dure senza cuscini tranne quando erano malati facevano bagni freddi al mattino e si aspettavano di riordinare le loro stanze e fare aghi per essere venduti a vari eventi di beneficenza quando non erano altrimenti occupati,dormivano su culle dure senza cuscino tranne quando erano malati i loro mobili erano malati a causa della loro cura e si aspettavano di tornare in citta quando non erano ancora occupati,29.3759,0.2995,0.1613,7.5,0,0
il futuro è verosimilmente questo,il futuro e questo,52.9762,0.3061,0.0,16.4,0,0
è un pò un salto nel buio,e stato un salto nel buio,78.2407,0.83,0.8889,76.0,0,0
la ragione è questa,la ragione e evidente,27.5,0.1724,0.0,11.5,0,0
non di chi è la colpa,ma non e stata colpa mia,52.1032,0.2174,0.0,9.0,0,0
ma non era questo il punto,ma non e il punto,66.6667,0.75,0.5714,30.2,0,0
le convenzioni di ginevra non affrontano l uso di armi da guerra in quanto ciò è contemplato dalle convenzioni dell' aia e dal protocollo di ginevra,le convenzione di ginevra non si occupa delle armi da guerra e del protocollo di ginevra,32.3802,0.1875,0.0769,2.1,0,0
tuttavia questo non era un sogno,ma non era un sogno,61.3889,0.8203,0.6667,40.9,0,0
beaumes de-venise è un comune francese situato nel dipartimento di vaucluse nella regione della provenza-alpi-costa azzurra,beaumes de - venise e un comune francese situato nella regione provence - alpes - c te d'azur nel dipartimento del vaucluse nel sud della francia,31.9504,0.5875,0.4348,21.9,0,0
ma qui sta il problema,tutto il problema sta qui,100.0,0.996,1.0,100.0,0,0
il classicismo è una forza che è spesso presente nelle tradizioni influenzate europee ed europee post medievali tuttavia alcuni periodi si sentivano più collegati agli ideali classici di altri in particolare l età della ragione l età dell' illuminismo e alcuni movimenti classicizzazione nel modernismo,il classicismo e una forza che e stata creata nelle tradizioni europee ed europee,30.1145,0.0545,0.0526,2.7,0,0
"l' apertura alare misura da 1,5 a 2,38 in","l'apertura alare e di 1, 5 m",14.1038,0.051,0.375,4.9,0,0
non sappiamo dar- ci una risposta,non sapeva dare una risposta,76.3889,0.75,0.5,42.7,0,0
sulla base dei giudizi complessivi la commissione dopo ponderata valutazione comparativa dei candidati procede all indicazione del vincitore,sulla base dei giudizi complessivi la commissione dopo ponderata valutazione comparativa dei candidati ha proceduto all indicazione del vincitore,73.1249,0.8293,0.7222,65.0,0,0
a livello nazionale negli anni '20 si diceva che l' indiana avesse il più potente ku klux klan,negli anni'20 e'90 l'indiana aveva il piu potente ku klux klan,48.6004,0.1218,0.093,2.0,0,0
insomma non è un bel momento,non e stato un bel momento,66.6667,0.7353,0.4444,32.5,0,0
