Normal,Simple1,Simple2,SARI,METEOR,ROUGE_F,BLEU
Ok questa è una questione di stile,È una questione di stile,['Ma è una semplice questione di stile personale'],66.6667,0.8441,0.8571,54.8
L' articolo è presente anche su,Maggiori informazioni sono presenti su questo sito,['Questo articolo è presente anche su questo'],13.3532,0.1639,0.0,6.6
"Certo , passi in avanti sono stati fatti",Molti passi avanti sono stati fatti,['Molti passi avanti sono stati fatti'],41.6035,0.6205,0.5,38.5
Carte più dettagliate e personalizzate possono essere create con un programma planetario come lo Starry Night,carte più complesse e complicate possono essere create con un programma speciale come lo Starry Night,['carte più complesse e complicate possono essere create con un programma speciale come lo Starry Night'],47.5222,0.8187,0.5926,45.8
Programma per non frequentanti da concordare con la docente,programma per non frequentanti il docente,['programma per non frequentanti il docente'],47.2685,0.5126,0.3077,14.7
E non sono affatto la stessa cosa,Non possono essere la stessa cosa,['Non possono essere la stessa cosa'],100.0,0.9977,1.0,100.0
"Si procederà , quindi , alla votazione",Si può procedere alla votazione,['Si può procedere alla votazione'],100.0,0.996,1.0,100.0
La stazione di Bordighera è situata lungo la linea Genova-Ventimiglia e serve l,La stazione di Bordiger è trova lungo la principale linea Genova - ventidue e serve l'intera linea della tranviaria,"[""La stazione di Bordiger è trova lungo la principale linea Genova - Taranto e serve l'intera linea della nave - Costa Azzurra""]",18.1376,0.5048,0.375,11.8
Vi ringrazio per l' attenzione e vi auguro buon lavoro,Ringrazio per l'attenzione e auguro buon lavoro,"[""Ringrazio per l'attenzione e auguro buon lavoro""]",43.0159,0.6692,1.0,42.4
Togliete dal forno e servite immediatamente,Togliere dal forno e servire,['Togliere dal forno e servire'],93.3333,0.8441,0.8889,81.9
"Le cose sono cambiate , da allora",Da allora molte cose sono cambiate,['Da allora molte cose sono cambiate'],100.0,0.9977,1.0,100.0
La risposta più logica è : no,La risposta è stata no,['La risposta è stata no'],48.5185,0.4099,0.2222,7.7
"Certo , ci sono dei limiti",Ci sono dei limiti superiori,['Ci sono dei limiti superiori'],25.0,0.0,0.0,3.6
E allora che cosa c' è che non va,Che cos'è che non va,"[""Che cos'è che non va""]",30.8333,0.6392,0.4,23.5
"La domanda , però , è un' altra",Un'altra domanda è la seguente,"[""La mia domanda specifica invece è un'altra""]",35.8135,0.1299,0.5,10.4
"Abbiamo parlato di molte cose , insieme",Abbiamo parlato di molte cose,['Abbiamo parlato di molte cose'],50.463,0.75,0.5,42.7
ma una cosa dobbiamo dir- la,Una cosa devo comunque dire,['Una cosa devo comunque dire'],100.0,0.996,1.0,100.0
"Il Comitato approva , quindi , la proposta di parere favorevole del relatore",Il Comitato approva la proposta di parere del relatore,['Il Comitato approva la proposta di parere del relatore'],65.4862,0.8819,0.75,59.7
Per ulteriori informazioni rimandiamo al sito,Per ulteriori informazioni si rimanda al sito,['Per ulteriori informazioni si rimanda al sito'],75.8796,0.8413,0.6667,64.3
Questa è una lettera d' amore,è una lettera d'amore,"[""è una lettera d'amore""]",13.6508,0.4395,0.8571,36.1
Non vi sarebbero state vittime,Ma non vi sono state vittime,['Ma non vi sono state vittime'],88.1944,0.83,0.8,76.0
"Tale attività , ben documentata , è buona come l' attività didattica",L'attività didattica è buona e documentata,"[""L'attività didattica è buona e documentata""]",38.0556,0.2662,0.3333,10.9
è così o questa è una mia errata impressione,è possibile o è una mia impressione,['è possibile o è una mia impressione'],74.6296,0.8757,0.6667,51.5
Eppure avrebbe avuto solo l' imbarazzo della scelta,Avranno l'imbarazzo della scelta,"[""Avranno l'imbarazzo della scelta""]",33.0556,0.3233,0.75,24.9
"Ma è solo , forse , un' impressione",Forse è solo un'impressione,"[""Forse è solo un'impressione""]",47.2222,0.102,0.0,12.4
"Sospendo tuttavia la seduta , che riprenderà alle 15",Sospendo la seduta che riprenderà alle 15,['Sospendo la seduta che riprenderà alle 15'],100.0,0.9985,1.0,100.0
Ma non è una soluzione per tutti,Ma non è una soluzione,['Ma non è una soluzione'],44.0741,0.6313,0.0,25.4
"Quali sono , dunque , i veri motivi della crisi italiana",Quali sono i veri motivi della crisi,['Quali sono i veri motivi della crisi'],68.6645,0.9654,0.7273,41.1
Per ulteriori informazioni si può telefonare allo 0565962088,Per informazioni telefonare allo 0565962088,['Per informazioni telefonare allo 0565962088'],41.7063,0.7118,0.6,33.5
Poi d' un tratto sentii una voce,Poi sentirono una voce,['Poi sentirono una voce'],38.75,0.2467,0.2222,15.1
Nell'antichità il se era spesso usato in duetto con il qin,Nell'antichità il se era usato in due spicchi con il qin,"[""Nell'antichità il se era usato in due spicchi con il qin""]",19.7685,0.803,0.6364,37.8
Grazie e mi scusi il disturbo,Grazie e scusa ancora il disturbo,['Grazie e scusa ancora il disturbo'],100.0,0.9977,1.0,100.0
E questa è una notizia,Ed è una buona notizia,['Ed è una buona notizia'],100.0,0.996,1.0,100.0
"Il primo utilizzo del riscaldamento elettrico fu per un torneo di balkline 18.2 tenutosi nel dicembre 1927 tra Welker Cochran e Jacob Schaefer , Jr","Il primo utilizzo del calore elettrico fu per un torneo di balkline 18. 2 tenutosi nel dicembre 1927 tra Welch Cochran e Wilhelm Sch Schaefer, Jr","['Il primo utilizzo del calore elettrico fu per un torneo di balkline 18. 2 tenutosi nel dicembre 1927 tra Welch Cochran e Wilhelm Sch Schaefer, Jr']",34.072,0.6071,0.5283,33.0
"Nel Medioevo europeo, l'erba veniva posta sotto i cuscini per favorire il sonno e allontanare gli incubi","Nel cristianesimo europeo, l'erba veniva posta sotto i sedili per favorire il sonno e allontanamento","[""Nel cristianesimo europeo, l'erba veniva posta sotto i tenda per favorire il sonno e astensione""]",31.0673,0.5902,0.5714,42.3
E il problema è proprio questo,Il problema è questo,['Il problema è questo'],52.7778,0.5442,0.0,21.4
Allora qual è la differenza,Dov'è allora la differenza,"[""Dov'è allora la differenza""]",67.9762,0.9977,1.0,46.3
"Dopo l' articolo 423 del codice penale è inserito il seguente : "" Art",Dopo l'articolo 423 del codice civile è inserito il seguente : « Art,"[""Dopo l'articolo 423 del codice civile è inserito il seguente : « Art""]",72.178,0.8089,1.0,78.0
Anche per me è una sorpresa,È stata una vera sorpresa per me,['È stata una vera sorpresa per me'],71.5152,0.647,0.1818,14.3
"Si arrampicò sulla roccia più grande, e guardò i gabbiani planare sopra le teste di Ida e del suo nuovo amico Aidan mentre camminavano sulla spiaggia diretti verso di lui","Si arrampicò sulla roccia più grande, e guardò sopra le gabbiane di Ida e del suo nuovo amico Aidan mentre camminavano sulla spiaggia diretto verso di lui","['Si arrampicò sulla roccia più grande, e guardò sopra le gabbiane di Ida e del suo nuovo amico Aidan mentre camminavano sulla spiaggia diretto verso di lui']",25.5401,0.8111,0.6909,58.8
Quello fu un grande periodo,è stato un grande periodo,['è stato un grande periodo'],48.6111,0.2,0.0,12.7
"Dopotutto , è solo un gioco",Magari è solo un gioco,['Magari è solo un gioco'],66.6667,0.6727,0.5714,54.8
Ma non risolveremmo il problema,Che non sempre risolvono il problema,['Che non sempre risolvono il problema'],74.7619,0.7353,0.4444,32.5
"Per ulteriori informazioni , scrivete- ci a",Per ulteriori informazioni scrivi a,['Per ulteriori informazioni scrivi a'],66.6667,0.6356,0.4444,35.0
Sono un uomo fortunato,Sono proprio un uomo fortunato,['Sono proprio un uomo fortunato'],52.7778,0.375,0.2857,21.4
L' errore concettuale è proprio questo,Questo è il suo errore,['Questo è il suo errore'],79.1294,0.6286,0.6667,26.0
"Stando al Vangelo secondo Marco, Giacomo e Giovanni furono detti da Gesù Boanerghes (""figli del tuono","Marco secondo il Vangelo secondo Marco, Giacomo e Giovanni furono detti discepoli del tuono","['Al Vangelo secondo Marco, Giacomo e Giovanni furono detti da Gesù Boaner Racconti di Gesù']",25.5646,0.5355,0.5,39.8
C' è solo un problema,è un problema solo tuo,['è un problema solo tuo'],46.2963,0.2941,0.0,12.4
C' è un' altra considerazione da fare,È importante però fare una considerazione,"[""Piuttosto c'è da fare un'altra considerazione""]",31.1111,0.1562,0.0,6.9
"Dolignon è un comune del dipartimento dell'Aisne, in Piccardia, nel nord della Francia","dolignon è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia","[""dolignon è un comune. Si trova nella regione Picardie, nel dipartimento dell'Aisne, nel nord della Francia""]",100.0,0.9999,1.0,94.3
La mia domanda però è un' altra,Un'altra domanda è la seguente,"[""Un'altra domanda è la seguente""]",70.5952,0.5836,1.0,54.8
"La Commissione prosegue la discussione congiunta , rinviata nella seduta del 16 marzo 2005",La Commissione prosegue la discussione rinviata nella seduta del 16 marzo 2005,['La Commissione prosegue la discussione rinviata nella seduta del 16 marzo 2005'],73.1827,0.9139,0.8182,73.5
Nella comunità nera si è parlato di organizzare una cena da Paschal,La comunità nera voleva cenare da Paschal,['La comunità nera voleva cenare da Paschal'],100.0,0.9985,1.0,100.0
Si possono fare cose molto diverse,Si possono fare diverse cose,['Si possono fare diverse cose'],65.7407,0.75,0.5,23.6
"Dopo l' articolo 11 , è inserito il seguente : « Art",Dopo l'articolo 11 inserire il seguente : Art,"[""Dopo l'articolo 11 inserire il seguente : Art""]",63.4325,0.706,1.0,62.4
Il giudizio non fu pienamente positivo,E il giudizio può non esser facilissimo,['Il giudizio può non esser facilissimo'],100.0,0.9985,1.0,100.0
"Alcuni più riusciti , altri meno","Alcuni più bravi, altri meno","['Alcuni più bravi, altri meno']",38.6111,0.7353,0.5,23.0
La situazione non è questa,Certo la situazione bella non è,['Certo la situazione bella non è'],46.4286,0.1961,0.0,8.1
Quali dovrebbero essere i passi successivi,Quali sono i passi successivi,['Quali sono i passi successivi'],92.2222,0.8441,0.8889,54.8
"Bronstein insinuò che i funzionari sovietici gli fecero pressioni affinché perdesse nella partita del campionato del mondo del 1951, in modo che Botvinnik mantenesse il titolo, ma i commenti del secondo di Botvinnik, Salo Flohr, e le annotazioni dello stesso Botvinnik alla critica 23ª partita indicano che Botvinnik non era a conoscenza di tale complotto","Nel 2007, i funzionari sovietici gli chiedono che i funzionari del Comitato del mondo avessero pressioni sulla partita del 2001, ma i commenti del secondo di Botvinsky non erano a conoscenza del secondo motivo, e le annotazioni dello stesso giornale furono a conoscenza di tale punto","['Nel 2007, i funzionari sovietici gli permisero che i funzionari del Comitato del mondo del 1951, in modo che Botvinsky fosse a conoscenza del secondo mandato, ma i commenti del secondo livello del libro furono a disposizione']",34.2545,0.089,0.0,1.1
Non facciamo- ci illusioni,Non dobbiamo far - ci soverchie illusioni,['Non dobbiamo far - ci soverchie illusioni'],70.5628,0.5174,0.6,15.6
Questa è per me una cosa molto reale,per me è una cosa incomprensibile,['per me è una cosa incomprensibile'],66.2698,0.7433,0.25,19.3
"Ha detto che ogni volta che muore una persona, si trasmette il messaggio di quanto siano pericolose queste imprese",Dice che la morte di una persona dimostra quanto siano pericolose queste imprese,['Dice che la morte di una persona dimostra quanto siano pericolose queste imprese'],45.7236,0.5245,0.2727,11.1
"MOTIVI DELLA DECISIONE Il ricorso è fondato e va , pertanto , accolto",MOTIVI DELLA DECISIONE Il ricorso è fondato e va accolto,['MOTIVI DELLA DECISIONE Il ricorso è fondato e va accolto'],80.9406,0.8994,0.875,88.0
Ma questa non è una cosa definitiva,Ma non è stata una cosa facile,['Ma non è stata una cosa facile'],45.9921,0.7934,0.4444,30.7
Come posso trovare un libro su 365Bookmark,Come trovare un libro su 365,['Come trovare un libro su questi 5'],23.1481,0.1667,0.0,9.7
Quello è stato uno degli errori decisivi,È stato un grave errore,['È stato un grave errore'],77.7778,0.75,0.3333,23.6
MA LE COSE NON CAMBIANO,Ma la cosa non cambia,['Ma la cosa non cambia'],4.7619,0.2,0.0,12.7
E stata una rivelazione per me,Per me è stata una vera sorpresa,['Per me è stata una vera sorpresa'],53.4722,0.4915,0.2222,7.8
Di chi sarà mai la colpa,E la colpa di chi è,['E la colpa di chi è'],61.1111,0.3125,0.2222,8.1
Ma c' è sempre l' eccezione che conferma la regola,Ma è la classica eccezione che conferma la regola,['Ma è la classica eccezione che conferma la regola'],100.0,0.9993,1.0,100.0
Questa è tutt' altra cosa,Questa è un'altra cosa,"[""Questa è un'altra cosa""]",55.754,0.4406,1.0,27.5
Gli ebrei non possono nemmeno andare a casa di cristiani,Gli ebrei non possono andare a casa di cristiani,['Gli ebrei non possono andare a casa di cristiani'],34.93,0.9041,0.8235,66.9
anche questa è un' altra ipotesi valida,Questa è una mia sola ipotesi,['Questa è una mia sola ipotesi'],100.0,0.9977,1.0,100.0
In più è mio amico,È un mio grande amico,['È un mio grande amico'],62.5,0.122,0.0,5.3
"Non è questo , comunque , il problema",Il vero problema non è questo,['Il vero problema non è questo'],52.5,0.7294,0.0,18.0
Per ulteriori informazioni rivolger- si all' U.O,Per maggiori informazioni ci si può rivolgere all'U. O,"[""Per maggiori informazioni ci si può rivolgere all'U. O""]",43.8797,0.7782,0.7778,42.3
La lista potrebbe essere molto lunga,La lista è lunga e drammatica,['La lista è lunga e drammatica'],90.2778,0.83,0.75,76.0
La partita comunque è solo all' inizio,La partita è agli inizi,['La partita è agli inizi'],62.0833,0.4991,0.3333,39.8
Anzi è esattamente il contrario,Anzi è stato il contrario,['Anzi è stato il contrario'],66.6667,0.75,0.3333,30.2
Quali sarebbero le conseguenze pratiche,Ma quali saranno le conseguenze,['Ma quali saranno le conseguenze'],66.6667,0.5111,0.25,23.6
"Qual è , allora , il problema","Allora, quale è il problema","['Allora, quale è il problema']",61.1111,0.6464,0.3333,32.5
Il problema è però quello dei tempi,Il problema sono però i tempi,['Il problema sono però i tempi'],77.0833,0.8519,0.4,25.4
"Il suo sapore è secco , acidulo , delicato e leggermente frizzante",Il sapore è acidulo e gradevole,['Il sapore è acidulo e gradevole'],67.7778,0.625,0.25,32.5
Non è proprio una novità,Non è questo certo una novità,['Non è questo certo una novità'],100.0,0.9977,1.0,100.0
E questo è davvero un paradosso,È un pò un paradosso,['È un pò un paradosso'],100.0,0.996,1.0,100.0
Ma la risposta è la stessa di sopra,La mia risposta è la seguente,['La mia risposta è la seguente'],38.3796,0.7353,0.2857,32.5
"Ah , ecco , certo , come ho fatto a non capir- lo subito",Ma come ho fatto a non capire,['Ma come ho fatto a non capire'],50.8135,0.7114,0.6667,41.1
"Progressi ne sono stati fatti , dunque",Molti passi ne sono stati fatti,['Molti passi ne sono stati fatti'],48.9947,0.7782,0.6667,50.8
Il nome moderno ``Francia'' deriva dal nome del dominio feudale dei re capetingi di Francia intorno a Parigi,Il nome moderno ` ` francesi'' deriva dal nome del dominio feudai di Parigi intorno a Parigi,"[""Il nome moderno ` ` francesi'' deriva dal nome del dominio feudai di Parigi intorno a Parigi""]",26.1692,0.6278,0.4286,36.0
"Ed è , soprattutto , una notizia",Ed è una buona notizia,['E questa è una buona notizia'],100.0,0.996,1.0,100.0
Vi ringrazio per l' attenzione e saluto distintamente,Ringrazio per l'attenzione e saluto,"[""Ringrazio per l'attenzione e saluto""]",25.0397,0.5515,1.0,24.7
"Infine , cuocete- le in forno caldo per circa 5 minuti a 250",Cuocere in forno per 5 minuti a 70,['Cuocere in forno caldo a 180° per 5 minuti'],48.1619,0.7131,0.4,24.8
Si metta in contatto con le università degli studi,Devi metter - ti in contatto con le università degli studi,['Devi metter - ti in contatto con le università degli studi'],68.7332,0.803,0.8421,48.3
Anche questo sarebbe un grande bene,E questo è stato un bene,['E questo è stato un bene'],57.8836,0.526,0.2222,19.3
"Invece di arrivare giù fino alla vita, i capelli di Clara ora arrivavano solamente fino alle spalle","Invece di arrivare alla vita, i capelli di Clara fino alla sua spalle","['Invece di arrivare alla vita, i capelli di Clara erano arrivati solo fino alle spalle']",20.0564,0.4538,0.4286,12.4
Il giudizio collegiale complessivo della commissione è molto buono,Il giudizio della commissione è buono,['Il giudizio della commissione è buono'],34.7436,0.7014,0.4444,32.2
è una domanda : ne vale ancora la pena,La domanda è : ne vale la pena,['La domanda è : ne vale la pena'],84.3434,0.8919,0.7273,76.7
"Propone , conclusivamente , di esprimere parere favorevole",Propone infine di esprimere un parere favorevole,['Propone infine di esprimere un parere favorevole'],73.6658,0.7454,0.6667,53.3
"Ma questa , naturalmente , è tutta un' altra storia",Ma la storia è tutt'altra,"[""Ma la storia è tutt'altra""]",24.1237,0.1471,0.0,10.4
A questo punto la ... domanda sorge spontanea : perché tutto questo,A questo punto la domanda sorge spontanea,['A questo punto la domanda sorge spontanea'],46.5377,0.6344,0.5333,20.3
Il giudizio è complessivamente : ottimo,Il giudizio complessivo è ottimo,['Il giudizio complessivo è ottimo'],100.0,0.996,1.0,66.9
"Qui , invece , non c' è molto tempo",Non c'è più molto tempo,"[""Non c'è più molto tempo""]",45.1786,0.6692,0.4,11.7
C' è però un ostacolo,Ma ci sono altri ostacoli,['Ma ci sono altri ostacoli'],100.0,0.996,1.0,100.0
Dove sta il problema quindi,Dove sta il tuo problema,['Dove sta il tuo problema'],44.6429,0.3,0.0,12.7
"articolo 3 , comma 122 , della legge 24 dicembre 2003 , n. 350 , è sostituito dal seguente",Il comma 3 dell'articolo 24 della legge n. 2003 del 350 dicembre 350 è sostituito dal seguente : « 350,"[""Il comma 3 dell'articolo 24 della legge n. 2003 del 350 dicembre 350 è sostituito dal seguente : « 350""]",76.0939,0.7392,0.5882,50.9
Si trova nelle zone temperate e tropicali,Si trova nelle zone temperate,['Si trova nelle zone temperate'],13.0051,0.2373,0.2105,3.6
Quando Ida e Simo arrivarono finalmente al campeggio si precipitarono fuori dalla macchina,"Quando Ida e Simo arrivarono al campeggio, arrivarono fuori dalla macchina","['Quando Ida e Simo arrivarono al campeggio, arrivarono fuori dalla macchina']",46.5765,0.8067,0.6667,46.6
La ringrazio anticipatamente per la sua attenzione,La ringrazio per la sua gentile attenzione,['La ringrazio per la sua gentile attenzione'],100.0,0.9985,1.0,100.0
"articolo 7 , inserire il seguente : « Art","Dopo l'articolo 7, è inserito il seguente : Art","[""Dopo l'articolo 7, è inserito il seguente : Art""]",75.6151,0.7146,1.0,55.6
"La posta in gioco è , quindi , alta e chiara",La posta in gioco era alta,['La posta in gioco è persino più alta'],55.0361,0.7014,0.6,45.5
"Ecco , questo è il mio sogno",è solo il mio sogno,['è solo il mio sogno'],59.213,0.6356,0.5714,35.0
Questo sarebbe un gravissimo errore,è stato un errore,['È stato un tragico errore'],68.7698,0.5215,0.4,27.5
Complessivamente sono stati controllati 328 veicoli e 457 persone,In tutto sono stati controllati 328 veicoli e 457 persone,['In tutto sono stati controllati 328 veicoli e 457 persone'],100.0,0.9995,1.0,100.0
"Conseguentemente , sostituire l' articolo 44 , con il seguente : « Art","L'articolo 44, viene sostituito dal seguente : Art","[""Sostituire l'articolo 44 con il seguente : « Art""]",41.7584,0.4464,0.7143,23.7
"Accertata la presenza del prescritto numero di senatori , la Commissione approva , infine , il parere di nulla osta proposto dal relatore","Accerta la presenza del prescritto numero di senatori, la Commissione approva il parere proposto dal relatore","['Accerta la presenza del prescritto numero di senatori, la Commissione approva il parere proposto dal relatore']",97.9167,0.9999,1.0,100.0
"Dopo la bocca, gli fece il mento, poi il collo, le spalle, lo stomaco, le braccia e le mani","Dopo la bocca, fa il naso, poi il collo, le spalle e le mani","['Dopo la bocca, Geppetto fa il naso, poi il collo e le ventre e le mani']",33.9533,0.5728,0.5,29.1
Non è stata però un' impresa facile,Non è mica un'impresa facile,"[""Non è mica un'impresa facile""]",54.4841,0.3178,0.2857,21.4
"Parla maltese , italiano , inglese e francese",Parlo bene italiano e inglese,['Parlo bene italiano e inglese'],66.3405,0.1948,0.4,21.8
Il locale è sobriamente elegante,Il locale è moderno ed elegante,['Il locale è moderno ed elegante'],73.6111,0.8067,0.5,38.0
Per il resto non saprei,E per il resto non so,['E per il resto non so'],61.3889,0.8067,0.8889,23.0
Questa è una questione di principio,Ormai è una questione di principio,['Ormai è una questione di principio'],39.5833,0.25,0.0,10.7
E proprio qui sta il problema,Tutto il problema sta qui,['Tutto il problema sta qui'],100.0,0.996,1.0,100.0
L' attività didattica è di lunga durata e ben documentata,L'attività didattica è pertinente e di lunga durata,"[""L'attività didattica è pertinente e di lunga durata""]",62.1506,0.6009,0.5333,32.0
La situazione si è molto complicata,La situazione è gravissima,['La situazione è gravissima'],65.3373,0.6009,0.4,46.3
"è troppo "" strano","è strano, strano","['è strano, strano']",100.0,0.9922,1.0,100.0
Non puoi dire sul serio,Non puoi dire sul serio,['Non puoi dire sul serio'],100.0,0.996,1.0,100.0
I processi sono ancora in corso,Il processo è già in corso,['Il processo è già in corso'],55.9722,0.6464,0.2222,20.5
Come si potrebbe risolvere la questione,Come si può risolvere questa questione,['Come si può risolvere questa questione'],55.5556,0.5011,0.2222,18.0
Comunque anche questo non è un grosso problema,non è un mio problema,['non è un mio problema'],66.6667,0.75,0.3333,23.6
Ci sono ancora dei problemi,Ci sono stati dei problemi,['Ci sono stati dei problemi'],36.8056,0.5111,0.25,23.6
"Ribadisce , pertanto , la sua proposta di parere favorevole",Ribadisce infine la proposta di parere favorevole,['Ribadisce infine la proposta di parere favorevole'],66.6667,0.712,0.4615,39.4
"Si passa , quindi , all' esame di emendamenti volti ad aggiungere articoli aggiuntivi dopo l' articolo 11",Si passa quindi all'esame un emendamento volto ad aggiungere ulteriori articoli dopo l'articolo 11,"[""Si passa quindi all'esame un emendamento volto ad aggiungere ulteriori articoli dopo l'articolo 11""]",46.4005,0.5068,0.7097,30.3
"La maggior parte della regione è governata dalla Repubblica del Nagorno-Karabakh, uno Stato indipendente de facto e non riconosciuto, istituito sulla base dell'Oblast' autonoma del Nagorno-Karabakh all'interno della RSS dell'Azerbaigian dell'Unione Sovietica. Il territorio è internazionalmente riconosciuto come parte dell'Azerbaigian, che non esercita il potere sulla maggior parte della regione dal 1991","La maggior parte della regione è governata dalla Repubblica del Nagorno - Karabakh, uno Stato indipendente dal 1991","['La maggior parte della regione è governata dalla Repubblica del Nagorno - Karabakh, uno Stato indipendente dal governo della Turchia']",33.6388,0.122,0.0909,2.4
D'altra parte si dimostra che l'assorbimento umano di tali sostanze nelle vicinanze di un inceneritore è trascurabile,D'altra parte si dimostra che l'effetto umano di tali sostanza nelle vicinanze di un inceneritore è trascurabile,"[""D'altra parte si dimostra che l'effetto umano di tali sostanza nelle vicinanze di un inceneritore è trascurabile""]",25.8212,0.7157,0.5882,44.4
E questo non è che l' inizio,Non fu che l'inizio,"[""Non fu che l'inizio""]",16.1111,0.1493,0.5,9.7
Laureato in Medicina e Chirurgia nel 1973,Laurea in Medicina Chirurgia nel 1973,['Laurea in Medicina Chirurgia nel 1973'],100.0,0.9977,1.0,100.0
"Ma questa , ovviamente , è solo la mia modesta opinione",è solo la mia piccola opinione,['è solo la mia piccola opinione'],100.0,0.9977,1.0,100.0
Come è possibile una cosa del genere,è concepibile una cosa del genere,['è concepibile una cosa del genere'],66.6667,0.8067,0.75,53.7
Questo è un altro dato di fatto,È un dato di fatto,['È un dato di fatto'],50.5952,0.3178,0.25,17.5
"Certamente , ma è vero anche il contrario",Ma è vero il contrario,['Ma è vero il contrario'],65.2778,0.6727,0.6667,54.8
"Certo , perchè tutti i nodi vengono al pettine",Adesso i nodi vengono al pettine,['I nodi sono venuti tutti al pettine'],53.7927,0.7217,0.7273,64.3
Oggi il sito web del Times è uno dei più visitati siti giornalistici ed è il primo quotidiano online con sede negli USA (31 milioni di utenti al mese censiti a marzo 2009,Oggi il sito web del giornale è uno dei più più diffusi siti internet ed è il primo quotidiano italiano con sede negli Stati Uniti ( 31 milioni di utenti al mese 2009,['Oggi il sito web del giornale è uno dei più più visitati siti internet ed è il primo quotidiano online'],25.446,0.7362,0.5246,43.1
Ci sono anche dei problemi ovviamente,C'è anche un altro problema,"[""C'è anche un altro problema""]",34.5833,0.0962,0.0,10.7
Non è un film autobiografico,Non è un un film commerciale,['Non è un un film commerciale'],100.0,0.9977,1.0,100.0
"La guerra , quindi , c' è",La guerra c'è stata,"[""La guerra c'è stata""]",59.4444,0.8535,0.5714,11.5
"Per l' adempimento dei propri compiti la Commissione pur avvaler- si della collaborazione di tutte le amministrazioni dello Stato , anche ad ordinamento autonomo , degli enti pubblici , delle regioni e degli enti locali","Per l'adempimento dei propri compiti la Commissione può avvaler - si della collaborazione di tutte le amministrazioni dello Stato, anche ad ordinamento interno, delle regioni e degli Stati locali","[""Per l'adempimento dei propri compiti la Commissione può avvaler - si della collaborazione di tutte le amministrazioni dello Stato, anche ad ordinamento interno, delle regioni e degli Stati locali""]",36.2134,0.7039,0.7667,54.1
E quindi che cosa dovremmo fare,E quindi che cosa fare,['E quindi che cosa fare'],65.7407,0.7938,0.75,66.9
Le indagini di Roux sono state condotte principalmente sulle uova di rana per ricercare le prime strutture dello sviluppo degli anfibi,Le indagini di Roux sono state svolte principalmente sulle uova di Rana per ricerca delle prime strutture di zoologia,['Le indagini di Roux sono state svolte principalmente sulle uova di Rana per ricerca delle prime strutture dello sviluppo degli zoobi'],21.6856,0.6103,0.5789,37.5
Ma questa è una storia diversa,Ma questa è una storia vera,['Ma questa è una storia vera'],46.2963,0.625,0.25,18.0
"Spese ed onorari di giudizio possono , tuttavia , essere compensati tra le parti",Compensa integralmente tra le parti le spese e gli onorari del giudizio,['Compensa integralmente tra le parti le spese e gli onorari del giudizio'],69.4945,0.7504,0.6667,41.2
Dove potrei trovare ulteriori informazioni,Dove posso trovare più informazioni,['Dove posso trovare più informazioni'],37.6984,0.2542,0.0,11.5
"Infine , il comma 7 è sostituito dal seguente : "" 7","Il comma 7 è sostituito dal seguente "" 7","['Il comma 7 è sostituito dal seguente "" 7']",44.8873,0.2778,0.3333,10.6
"Conseguentemente , sostituire l' articolo 3 con il seguente : « Art","L'articolo 3, viene sostituito dal seguente : Art","[""Sostituire l'articolo 3 con il seguente : « Art""]",63.9225,0.6406,0.7692,45.9
"Ma c' è una cosa , importante",Ma una cosa è chiara,['Ma una cosa è chiara'],85.0794,0.8203,0.5714,57.9
Vorrei far- ti una domanda,Volevo far - le solo una domanda,['Volevo far - le solo una domanda'],68.75,0.4915,0.2222,14.5
"Il punto , però , è un altro",Il punto forte è un altro,['Il punto è solo un altro'],55.7407,0.625,0.4444,18.0
"L' attività didattica , solo parzialmente pertinente , è prolungata","L'attività didattica è prolungata, ampia e pertinente","[""L'attività didattica è prolungata, ampia e pertinente""]",54.9726,0.605,0.7273,25.8
I dati si riferiscono al 2004,I dati sono riferiti al 2004,['I dati sono riferiti al 2004'],100.0,0.9977,1.0,100.0
Ma i passi da fare sono ancora molti,Molto passo è ancora da fare,['Molto passo è ancora da fare'],44.5833,0.3276,0.1818,12.9
Vorrei però chiedere una cosa,Volevo chieder - le una cosa,['Volevo chieder - le una cosa'],66.6667,0.3676,0.25,16.2
FORTE : Questa è una buona domanda,È una buona domanda,['È una buona domanda'],62.963,0.6843,0.8,36.1
"Salve , avrei bisogno di un vostro aiuto",Abbiamo bisogno del vostro aiuto,['Abbiamo bisogno del vostro aiuto'],86.1111,0.7938,0.75,66.9
"articolo 8 , inserire il seguente : « Art",Dopo l'articolo 8 inserire i seguenti : « Art,"[""Dopo l'articolo 8 inserire i seguenti : « Art""]",31.25,0.1709,0.4286,5.4
Anche questo non è un risultato da poco,Non è un risultato da poco,['Non è un risultato da poco'],48.0952,0.7353,0.2857,32.5
In questo caso il notificante pur fare riferimento ai dati forniti in notifiche precedenti o ai risultati relativi ad emissioni precedenti,"In questo caso, il notificante può fare riferimento ai dati forniti in notifiche precedenti o ai risultati relativi ad emissioni precedenti","['In questo caso, il notificante può fare riferimento ai dati forniti in notifiche precedenti o ai risultati relativi ad emissioni precedenti']",77.5552,0.9948,1.0,87.3
"Oggi , tuttavia , la situazione è cambiata",Ma oggi la situazione è cambiata,['Ma oggi la situazione è cambiata'],48.3333,0.8745,0.2857,19.3
